chunk_id,book,page,chunk_index,char_count,token_count_est,word_count,has_newline,preview
13,Allana-Piza-YAzyk-telodvizhenij,4,2,236,59,31,False,Открытые Позиции Закрытые Позиции Способы Выражения Принятия или Непринятия Человека в Свой Круг Как
14,Allana-Piza-YAzyk-telodvizhenij,5,0,465,116,63,False,Как Ступени Ног Выражают Заинтересованность Расположение Участников при Общении в Положении Сидя Выв
15,Allana-Piza-YAzyk-telodvizhenij,5,1,299,74,40,False,Глава XVII Повышение Статуса Человека за Счет Манипуляций с Креслом Размеры Кресла и Его Деталей Воз
16,Allana-Piza-YAzyk-telodvizhenij,7,0,428,107,60,False,Глава I Общее представление о языке телодвижений К концу XX столетия появился новый тип ученого соци
17,Allana-Piza-YAzyk-telodvizhenij,7,1,479,119,72,False,"Он изучает поведение людей, стремясь больше узнать о поступках своих товарищей для того, чтобы тем с"
18,Allana-Piza-YAzyk-telodvizhenij,7,2,394,98,55,False,"Эта книга обобщала исследования о невербальных аспектах коммуникации, проделанные учеными — бихевиор"
19,Allana-Piza-YAzyk-telodvizhenij,7,3,381,95,53,False,"Каждый актер класси фицировался как хороший или плохой, судя по тому, как он мог использовать жесты "
20,Allana-Piza-YAzyk-telodvizhenij,7,4,389,97,53,False,"Что касается технической стороны исследования проблемы бодилэнгвиджа; то, пожалуй, наиболее влиятель"
21,Allana-Piza-YAzyk-telodvizhenij,8,0,419,104,56,False,учеными были обнаружены и зарегистрированы более 1000 невербальных знаков и сигналов. Альберт Мейера
22,Allana-Piza-YAzyk-telodvizhenij,8,1,310,77,51,False,"Он установил, что в среднем человек говорит словами только в течение 10 11 минут в день, и что каждо"
23,Allana-Piza-YAzyk-telodvizhenij,8,2,410,102,52,False,"Большинство исследователей разделяют мнение, что словесный (вербальный) канал используется для перед"
24,Allana-Piza-YAzyk-telodvizhenij,8,3,483,120,65,False,"Независимо от культурного уровня человека, слова и сопровождающие их движения совпадают с такой степ"
25,Allana-Piza-YAzyk-telodvizhenij,8,4,408,102,59,False,"Homo sapiens является одним из видов большой, не покрытой шерстью обезьяны, которая научилась ходить"
26,Allana-Piza-YAzyk-telodvizhenij,9,0,503,125,72,False,"Восприимчивость, Интуиция и Предчувствия Когда мы говорим, что человек чувствителен и обладает интуи"
27,Allana-Piza-YAzyk-telodvizhenij,9,1,396,99,55,False,"Лекторы называют это чувством аудитории. Например, если слушающие сидят глубоко в креслах с опущенны"
28,Allana-Piza-YAzyk-telodvizhenij,9,2,510,127,67,False,"Женщины обычно более чувствительны, чем мужчины и этим объясняется существование такого понятия, как"
29,Allana-Piza-YAzyk-telodvizhenij,9,3,204,51,27,False,"Первые несколько лет мать полагается только на невербальные каналы коммуникации со своим ребенком, и"
30,Allana-Piza-YAzyk-telodvizhenij,10,0,480,120,59,False,"Врожденные, Генетические, Приобретенные и Культурно Обусловленные Сигналы. Несмотря на то, что проде"
31,Allana-Piza-YAzyk-telodvizhenij,10,1,380,95,47,False,Проводились также наблюде ния за жестикулярным поведением различных наций и изучалось поведение наши
32,Allana-Piza-YAzyk-telodvizhenij,10,2,412,103,55,False,"Немецкий ученый Айбль — Айбесфельдт установил, что способ ность улыбаться глухих или слепых от рожде"
33,Allana-Piza-YAzyk-telodvizhenij,10,3,470,117,71,False,"Они установили, что представители различных культур использовали одинаковые выражения лица при прояв"
34,Allana-Piza-YAzyk-telodvizhenij,10,4,435,108,57,False,"Отсюда можно заключить, что это, возможно, генетический жест, который не может быть изменен. Существ"
35,Allana-Piza-YAzyk-telodvizhenij,11,0,408,102,53,False,"обычно разворачивает тело к женщине; женщина же обычно проходит, отвернувшись от него. Делает ли она"
36,Allana-Piza-YAzyk-telodvizhenij,12,0,396,99,60,False,Основные Коммуникационные Жесты и Их Происхождение Во всем мире основные коммуникационные жесты не о
37,Allana-Piza-YAzyk-telodvizhenij,12,1,389,97,55,False,"Покачивание головой для обозначения отрицания или несогласия является также уни версальным, и может "
38,Allana-Piza-YAzyk-telodvizhenij,12,2,255,63,29,False,Тем самым очень быстро он приучается использовать покачивание головой для выражения своего несогласи
39,Allana-Piza-YAzyk-telodvizhenij,13,0,455,113,61,False,"от акта нападения на противника и до сих пор используется современным человеком, когда он злобно усм"
40,Allana-Piza-YAzyk-telodvizhenij,13,1,467,116,67,False,"Это комплексный жест, состоящий из трех компонентов: развернутые ладони,.поднятые плечи поднятые бро"
41,Allana-Piza-YAzyk-telodvizhenij,13,2,475,118,71,False,"Например, рассмотрим разницу в интерпретации разными нациями таких трех типичных жестов, как кольцо "
42,Allana-Piza-YAzyk-telodvizhenij,13,3,92,23,15,False,"Некоторые считают, что они обозначали « all correct» — все правильно, но потом, в результате"
43,Allana-Piza-YAzyk-telodvizhenij,14,0,480,120,69,False,"орфографической ошибки, превратились в «Oll — Korrect». Другие говорят, что это антоним к слову «нок"
44,Allana-Piza-YAzyk-telodvizhenij,14,1,484,121,69,False,"Значение «ОК» хорошо известно во всех англоязычных странах, а также в Европе и в Азии, в некоторых ж"
45,Allana-Piza-YAzyk-telodvizhenij,14,2,443,110,62,False,"Это поможет вам избежать возможных неловких ситуаций. Поднятый Вверх Большой Палец. В Америке, Англи"
46,Allana-Piza-YAzyk-telodvizhenij,14,3,457,114,63,False,"В некоторых странах, например, Греции этот жест означает «заткнись», поэтому можете представить себе"
47,Allana-Piza-YAzyk-telodvizhenij,14,4,268,67,38,False,Жест с поднятием большого пальца в сочетании с другими жестами используется как символ власти и прев
48,Allana-Piza-YAzyk-telodvizhenij,15,0,407,101,58,False,V — Образный Знак Пальцами. Этот знак очень популярен в Великобритании и Австралии и имеет оскорбите
49,Allana-Piza-YAzyk-telodvizhenij,15,1,422,105,59,False,"В большинстве стран Европы, однако, V жест в любом случае означает «победа», поэтому, если англичани"
50,Allana-Piza-YAzyk-telodvizhenij,15,2,132,33,18,False,"Поэтому, прежде чем делать какие либо выводы о значении жестов и языка тела, необходимо учесть нацио"
51,Allana-Piza-YAzyk-telodvizhenij,16,0,222,55,30,False,"Совокупность Жестов Одной из наиболее серьезных ошибок, которую могут допустить новички в деле изуче"
52,Allana-Piza-YAzyk-telodvizhenij,16,1,474,118,63,False,"Например, почесывание затылка может означать тысячу вещей — перхоть, блохи, выделение пота, неуверен"
53,Allana-Piza-YAzyk-telodvizhenij,16,2,448,112,57,False,"Полностью понять значение этого слова вы можете только тогда, когда вставите это слово в предложение"
54,Allana-Piza-YAzyk-telodvizhenij,16,3,492,123,73,False,"Главным здесь является жест «подпирание щеки указательным пальцем», в то время как другой палец прик"
55,Allana-Piza-YAzyk-telodvizhenij,17,0,471,117,77,False,"Конгруэнтность — Совпадение Слов и Жестов Если бы вы были собеседником человека, показанного на рис."
56,Allana-Piza-YAzyk-telodvizhenij,17,1,474,118,70,False,"Исследования доказывают, что невербальные сигналы несут в 5 раз больше информации, чем вербальные, и"
57,Allana-Piza-YAzyk-telodvizhenij,17,2,415,103,59,False,"Он может попытаться убедить аудиторию в своем теплом, гуманном отношении, делая быстрые, резкие удар"
58,Allana-Piza-YAzyk-telodvizhenij,18,0,138,34,16,False,Ключом к правильной интерпретации жестов является учитывание всей совокупности жестов и конгруэнтнос
59,Allana-Piza-YAzyk-telodvizhenij,19,0,492,123,70,False,Значение Контекста для Толкования Жестов Кроме учета совокупности жестов и соответствия между словам
60,Allana-Piza-YAzyk-telodvizhenij,19,1,389,97,54,False,"Однако, если человек в точно таком же положении будет сидеть напротив вас за столом переговоров о за"
61,Allana-Piza-YAzyk-telodvizhenij,20,0,353,88,50,False,"Другие Факторы, Оказывающие Влияние на Интерпретацию Жестов Если у человека слабое рукопожатие, то м"
62,Allana-Piza-YAzyk-telodvizhenij,20,1,497,124,70,False,"Поэтому художники, музыканты, хирурги и люди других деликатных профессий, где требуются чуткие пальц"
63,Allana-Piza-YAzyk-telodvizhenij,21,0,350,87,46,False,"Положение в Обществе и Богатство Жестикуляции Научные исследования в области лингвистики показали, ч"
64,Allana-Piza-YAzyk-telodvizhenij,21,1,333,83,39,False,Исследования в области невербалики выявили зависимость между красноречивостью человека и степенью же
65,Allana-Piza-YAzyk-telodvizhenij,21,2,298,74,41,False,"Человек, находящийся на вершине соци альной лестницы или профессиональной карьеры, может пользоватьс"
66,Allana-Piza-YAzyk-telodvizhenij,21,3,451,112,66,False,"В этой книге большинство примеров описывает поведение людей среднего сословия, но общее правило закл"
67,Allana-Piza-YAzyk-telodvizhenij,21,4,368,92,57,False,"5). Этот жест «прикрывание рта рукой» подскажет родителям о том, что ребенок солгал, но на протяжени"
68,Allana-Piza-YAzyk-telodvizhenij,22,0,482,120,71,False,Это жест прикрывания рукой рта становится более утонченным во взрослом возрасте. Когда взрослый чело
69,Allana-Piza-YAzyk-telodvizhenij,22,1,174,43,25,False,"Это пример того, что с возрастом жесты людей становятся менее броскими и более завуалированными, поэ"
70,Allana-Piza-YAzyk-telodvizhenij,23,0,484,121,63,False,Возможность Подделать Язык Телодвижений Наиболее типичным вопросом является «Возможна ли подделка в 
71,Allana-Piza-YAzyk-telodvizhenij,23,1,486,121,65,False,"Это могут быть суженные зрачки, поднятая бровь или искривление уголка рта, и все эти сигналы будут п"
72,Allana-Piza-YAzyk-telodvizhenij,23,2,494,123,63,False,"Возьмите, например, конкурсы красоты Мисс Америка или Мисс Вселенная, на которых каждая конкурсантка"
73,Allana-Piza-YAzyk-telodvizhenij,23,3,396,99,56,False,Многие политики являются опытными специалистами в области копирования языка *тела и используют это д
74,Allana-Piza-YAzyk-telodvizhenij,23,4,481,120,74,False,"Мы улыбаемся, киваем головой и подмигиваем в попытке скрыть ложь, но, к несчастью для нас, наше тело"
75,Allana-Piza-YAzyk-telodvizhenij,24,0,390,97,55,False,"В заключении хочется сказать, что трудно подражать и подделывать язык тела в течение долгого периода"
76,Allana-Piza-YAzyk-telodvizhenij,25,0,466,116,69,False,"Как Сказать Неправду, не Раскрыв Себя Проблема с ложью заключается в том, что наше подсознание работ"
77,Allana-Piza-YAzyk-telodvizhenij,25,1,478,119,66,False,"Во время обмана наше подсознание выбрасывает пучок нервной энергии, которая проявляется в жестах, пр"
78,Allana-Piza-YAzyk-telodvizhenij,25,2,420,105,62,False,"Во первых, отрабатывают те жесты, которые придают правдоподобность сказан ному, но это возможно лишь"
79,Allana-Piza-YAzyk-telodvizhenij,25,3,479,119,63,False,Преднамеренно скажите неправду своему знакомому и сделайте осознанную попытку подавить всякие телодв
80,Allana-Piza-YAzyk-telodvizhenij,25,4,481,120,65,False,"Исследования с использованием замедленных съемок показали, что эти микрожесты проявляются лишь долю "
81,Allana-Piza-YAzyk-telodvizhenij,26,0,375,93,56,False,"Совершенно очевидно, что для того, чтобы не выдать себя в момент произнесения неправды, вам нужно сд"
82,Allana-Piza-YAzyk-telodvizhenij,26,1,202,50,34,False,"Естественно, что ваша ложь будет менее заметна, если вы в этот момент будете сидеть за столом и тело"
83,Allana-Piza-YAzyk-telodvizhenij,27,0,295,73,39,False,Как Научиться Говорить на Языке Телодвижений Поставьте себе задачу хотя бы пятнадцать минут в день з
84,Allana-Piza-YAzyk-telodvizhenij,27,1,340,85,48,False,"В частности, аэропорт является отличным местом наблюдения всего спектра человеческих жестов, посколь"
85,Allana-Piza-YAzyk-telodvizhenij,27,2,410,102,51,False,"Изучив искусство языка телодвижения, вы можете отправиться на вечер, просидеть потихонечку в уголочк"
86,Allana-Piza-YAzyk-telodvizhenij,27,3,234,58,34,False,"Включая звук через каждые 5 минут, вы сможете проверить правильность вашего понимания невербалики, и"
87,Allana-Piza-YAzyk-telodvizhenij,28,0,484,121,80,False,"Глава II Зоны и территории Много книг и статей было написано на тему о том, как животные, птицы и ры"
88,Allana-Piza-YAzyk-telodvizhenij,28,1,476,119,60,False,Американский антрополог Эдуард Т. Холл был одним из родоначальников в области изучения пространствен
89,Allana-Piza-YAzyk-telodvizhenij,28,2,502,125,69,False,Внутри каждой страны имеется еще одно территориальное деление в виде штатов или графств. Эти террито
90,Allana-Piza-YAzyk-telodvizhenij,28,3,471,117,60,False,"Под территорией понимается также пространство, которое человек считает своим, как будто это простран"
91,Allana-Piza-YAzyk-telodvizhenij,28,4,59,14,7,False,"В этой главе будут преимущественно рассматриваться вопросы,"
92,Allana-Piza-YAzyk-telodvizhenij,29,0,387,96,51,False,"связанные с этим видом территории, и с тем, как люди реагируют на попытки нарушить ее. Личная Террит"
93,Allana-Piza-YAzyk-telodvizhenij,29,1,415,103,58,False,"Лев, выросший на просторных территориях Африки может иметь сферу обитания радиусом в 31 милю и более"
94,Allana-Piza-YAzyk-telodvizhenij,29,2,421,105,50,False,"Подобно другим животным, человек обладает своей собственной воздушной оболочкой, окружающей его тело"
95,Allana-Piza-YAzyk-telodvizhenij,29,3,482,120,64,False,"Однако, мы будем вести речь в основном о территориальном поведении народов западных стран. Социально"
96,Allana-Piza-YAzyk-telodvizhenij,29,4,498,124,78,False,Ее можно разделить на 4 четкие пространственные зоны. 1. Интимная зона (от 15 до 46 см). Из всех зон
97,Allana-Piza-YAzyk-telodvizhenij,29,5,221,55,34,False,"Это сверх интимная зона. 2. Личная зона (от 46 см до 1, 2 метра). Это расстояние, которое обычно раз"
98,Allana-Piza-YAzyk-telodvizhenij,30,0,411,102,65,False,"3. Социальная зона (от 1, 2 до 3, 6 метров). На таком расстоянии мы держимся от посторонних людей, н"
99,Allana-Piza-YAzyk-telodvizhenij,31,0,337,84,41,False,Практическое Использование Зонального Пространства Обычно наша интимная зона нарушается тем или иным
100,Allana-Piza-YAzyk-telodvizhenij,31,1,408,102,57,False,"Если мы можем терпеть вторжение посторонних людей в наши личные и социальные зоны, то вторжение пост"
101,Allana-Piza-YAzyk-telodvizhenij,31,2,496,124,80,False,"Это означает, что если вы дружелюбно прикоснетесь к руке или обнимите человека, с которым вы только "
102,Allana-Piza-YAzyk-telodvizhenij,31,3,419,104,63,False,"Например, только что принятый на работу служащий первое время может подумать, что коллектив относитс"
103,Allana-Piza-YAzyk-telodvizhenij,31,4,448,112,65,False,Дистанция между двумя целующимися может много рассказать вам о характере взаимоотношений между этими
104,Allana-Piza-YAzyk-telodvizhenij,31,5,119,29,13,False,"Исключением из правила, требующего строгого соблюдения дистанционной зоны, являются случаи, когда пр"
105,Allana-Piza-YAzyk-telodvizhenij,32,0,353,88,48,False,"человека обусловлена его социальным положением. Например, управляющий компанией и один из его подчин"
106,Allana-Piza-YAzyk-telodvizhenij,32,1,452,113,66,False,"Скученность людей на концертах, в кинозалах, на эскалаторах, в транспорте, лифте приводит к неизбежн"
107,Allana-Piza-YAzyk-telodvizhenij,32,2,449,112,68,False,3. Лицо должно быть совершенно беспристрастным — никакого проявления эмоций не разрешается. 4. Если 
108,Allana-Piza-YAzyk-telodvizhenij,32,3,398,99,58,False,"Эти эпитеты обычно употребляются из за того, что у этих людей невыразительные лица, но сторонние наб"
109,Allana-Piza-YAzyk-telodvizhenij,32,4,499,124,74,False,"Как только вы вступили в проход, ведущий к вашему месту, окруженному множеством незнакомых лиц, обра"
110,Allana-Piza-YAzyk-telodvizhenij,32,5,105,26,17,False,"Каждый раз, когда мы едем в переполненном лифте, сидим в переполненном кинозале или едем в битком на"
111,Allana-Piza-YAzyk-telodvizhenij,33,0,432,108,57,False,"автобусе, окружающие перестают для нас существовать, и до тех пор, пока нас непосредственно не заден"
112,Allana-Piza-YAzyk-telodvizhenij,33,1,472,118,64,False,"В действительности происходят следующие вещи: по мере того, как увеличивается толпа и ее плотность, "
113,Allana-Piza-YAzyk-telodvizhenij,33,2,380,95,46,False,"Только в последние годы правительство и градостроители стали обращать внимание на то, что многоэтажн"
114,Allana-Piza-YAzyk-telodvizhenij,33,3,459,114,63,False,"Олени там стали вымирать большими партиями несмотря на то, что в то время корма им было достаточно, "
115,Allana-Piza-YAzyk-telodvizhenij,33,4,382,95,47,False,"Надпочечные железы играют важную роль для роста организма, воспроизводства и сопротивляемости заболе"
116,Allana-Piza-YAzyk-telodvizhenij,33,5,399,99,58,False,"Следователи полиции используют специальные методы, построенные на нарушении территории личности, для"
117,Allana-Piza-YAzyk-telodvizhenij,34,0,264,66,35,False,методов сопротивление преступника очень быстро подавляется. Администраторы могут использовать тот же
118,Allana-Piza-YAzyk-telodvizhenij,35,0,484,121,68,False,"Ритуалы, Связанные с Занятием Свободного Места Когда человек претендует на место или пространство, ч"
119,Allana-Piza-YAzyk-telodvizhenij,35,1,352,88,49,False,"На теннисном корте он выбирает тот крючок для полотенца, который находится на самом большом свободно"
120,Allana-Piza-YAzyk-telodvizhenij,35,2,475,118,74,False,"Если в театре вы выбираете место не посередине между сидящим и последним креслом, а ближе к краю, то"
121,Allana-Piza-YAzyk-telodvizhenij,36,0,461,115,67,False,"Зональные Пространства у Разных Наций Молодая пара, только что эмигрировавшая в Чикаго из Дании, был"
122,Allana-Piza-YAzyk-telodvizhenij,36,1,434,108,66,False,"Эта ситуация подтверждает тот факт, что у многих европейских наций интимная зона составляет только 2"
123,Allana-Piza-YAzyk-telodvizhenij,36,2,476,119,58,False,Продвижение в интимную территорию человека лица противоположного пола является способом выражения ег
124,Allana-Piza-YAzyk-telodvizhenij,36,3,121,30,19,False,"Датчане же думали, что американцы были холодны и недружелюбны, потому что они устранялись от удобной"
125,Allana-Piza-YAzyk-telodvizhenij,37,0,474,118,70,False,"Недавно на конференции я заметил, что когда встречались и беседовали два американца, они стояли друг"
126,Allana-Piza-YAzyk-telodvizhenij,37,1,506,126,70,False,"Японец, чья интимная зона составляет 25 см, постоянно делал шаг вперед, чтобы сузить пространство. П"
127,Allana-Piza-YAzyk-telodvizhenij,37,2,294,73,39,False,"Американцы считают, что азиаты «фамильярны» и чрезмерно «давят», азиаты же считают, что американцы «"
128,Allana-Piza-YAzyk-telodvizhenij,38,0,378,94,49,False,"Различие Пространственных Зон у Горожан и Жителей Сельской Местности Как упоминалось выше, объем лич"
129,Allana-Piza-YAzyk-telodvizhenij,38,1,298,74,45,False,"По тому, как человек протягивает руку для рукопожатия можно судить, проживает ли он в крупном городе"
130,Allana-Piza-YAzyk-telodvizhenij,39,0,477,119,70,False,"В таком случае руки собеседников встречаются на нейтральной территории. Люди, выросшие в районном го"
131,Allana-Piza-YAzyk-telodvizhenij,39,1,422,105,58,False,"Люди, выросшие в отдаленных или малонаселенных сельских районах, обычно имеют очень большие потребно"
132,Allana-Piza-YAzyk-telodvizhenij,39,2,501,125,69,False,"Учитывая, что такой фермер имеет «воздушную оболочку» от 92 см до 1, 8 метра и более, рукопожатие с "
133,Allana-Piza-YAzyk-telodvizhenij,41,0,412,103,54,False,"Территория и Собственность Человек расценивает свою собственность или площадь, регулярно используему"
134,Allana-Piza-YAzyk-telodvizhenij,41,1,437,109,72,False,"Например, у женщины в доме есть свои личные территории, такие как кухня или прачечная, куда она запр"
135,Allana-Piza-YAzyk-telodvizhenij,41,2,280,70,44,False,"Посетитель кафетерия может даже дойти до того, что вырежет ножом свои инициалы на «своем» месте за с"
136,Allana-Piza-YAzyk-telodvizhenij,41,3,476,119,79,False,"Доктор Десмонд Моррис, наблюдая за местами в читальном зале библиотеки, установил, что если оставить"
137,Allana-Piza-YAzyk-telodvizhenij,41,4,358,89,47,False,"Если глава семьи пригласит агента по продаже присесть, и тот совершенно неумышленно сядет в «его» кр"
138,Allana-Piza-YAzyk-telodvizhenij,42,0,504,126,78,False,"Автомобили и Их Влияние на Чувство Территории Психологи заметили, что люди за рулем совершенно по др"
139,Allana-Piza-YAzyk-telodvizhenij,42,1,442,110,64,False,"Когда другой водитель проскакивает перед ним, он (даже если никакого вреда это ему не принесло) може"
140,Allana-Piza-YAzyk-telodvizhenij,42,2,370,92,55,False,"Его стиль поведения существенным образом отличается от той ситуации, когда водитель пересек ему доро"
141,Allana-Piza-YAzyk-telodvizhenij,42,3,500,125,70,False,"В заключении отметим, что другие люди будут рады вам или избегать вас в зависимости от того, насколь"
142,Allana-Piza-YAzyk-telodvizhenij,42,4,424,106,65,False,"Рисунок 10 отражает реакцию женщины на вторжение мужчины в ее территорию. Она отклоняется, пытаясь в"
143,Allana-Piza-YAzyk-telodvizhenij,43,0,398,99,58,False,1. Оба являются городскими жителями и мужчина имеет сексуальные намерения относительно этой женщины.
144,Allana-Piza-YAzyk-telodvizhenij,45,0,487,121,68,False,"Ладони. Честность и Открытость Испокон веков открытая ладонь ассоциировалась с искренностью, честнос"
145,Allana-Piza-YAzyk-telodvizhenij,45,1,500,125,77,False,"Второе положение — ладонь развернута вниз, и это сдерживающий или успокаивающий жест. Самый лучший с"
146,Allana-Piza-YAzyk-telodvizhenij,45,2,466,116,70,False,"15). Когда человек начинает с вами откровенничать, он обычно раскрывает перед собеседником ладони по"
147,Allana-Piza-YAzyk-telodvizhenij,46,0,298,74,43,False,"карманы или держать их скрещенными. Таким образом, спрятанные ладони могут подсказать мужу о том, чт"
148,Allana-Piza-YAzyk-telodvizhenij,47,0,181,45,33,False,"Открытые Ладони и Обман Читатель может спросить: «Вы имеете в виду, что если я скажу неправду с откр"
149,Allana-Piza-YAzyk-telodvizhenij,47,1,357,89,52,False,"Если вы скажите наглую ложь, и ваши ладони при этом будут открыты, вы все же можете показаться неиск"
150,Allana-Piza-YAzyk-telodvizhenij,47,2,435,108,59,False,"Уже говорилось о том, что жулики и профессиональные обманщики обладают особым талантом — приводить в"
151,Allana-Piza-YAzyk-telodvizhenij,47,3,347,86,48,False,"И наоборот, когда жест открытых ладоней становится привычкой, снижается количество лжи в вашей речи."
152,Allana-Piza-YAzyk-telodvizhenij,48,0,400,100,53,False,"Сила Ладони Одним из наименее заметных и в то же время наиболее значительных невербальных сигналов, "
153,Allana-Piza-YAzyk-telodvizhenij,48,1,453,113,68,False,"Различие между этими тремя положениями видны из следующего примера: допустим, вам нужно попросить ко"
154,Allana-Piza-YAzyk-telodvizhenij,48,2,456,114,63,False,"Человек, которого мы попросили передвинуть коробку, не почувствует никакого давления, и в условиях с"
155,Allana-Piza-YAzyk-telodvizhenij,48,3,404,101,66,False,"Например, если это ваш коллега одинакового с вами положения, то он может не выполнить вашу просьбу, "
156,Allana-Piza-YAzyk-telodvizhenij,48,4,492,123,69,False,"Пальцы руки сжаты в кулак, и вместе с выставленным указательным пальцем вся конфигурация становится "
157,Allana-Piza-YAzyk-telodvizhenij,50,0,365,91,48,False,Рукопожатия Обмен рукопожатием является реликтом первобытнообщинной эры. Когда встречались первобытн
158,Allana-Piza-YAzyk-telodvizhenij,50,1,281,70,41,False,"Современная форма этого древнего приветственного ритуала выражается в том, что люди протягивают друг"
159,Allana-Piza-YAzyk-telodvizhenij,51,0,483,120,62,False,"Доминирующее и Покорное Рукопожатие Выше говорилось о том, как с помощью различного разворота ладони"
160,Allana-Piza-YAzyk-telodvizhenij,51,1,478,119,68,False,"Лучше быть с ним осторожнее». Второе — покорность, уступчивость: «Я могу оказывать давление на этого"
161,Allana-Piza-YAzyk-telodvizhenij,51,2,409,102,59,False,Во время властного рукопожатия ваша рука захватывает руку другого человека (на рисунке ваша рука в ч
162,Allana-Piza-YAzyk-telodvizhenij,51,3,422,105,54,False,"Мы исследовали поведение 54 преуспевающих, высокопоставленных представителей административного звена"
163,Allana-Piza-YAzyk-telodvizhenij,51,4,407,101,55,False,"Это рукопожатие отличается от властного рукопожатия тем, что вы протягиваете руку, развернув ее ладо"
164,Allana-Piza-YAzyk-telodvizhenij,52,0,342,85,43,False,"проявление покорности. Например, человек страдает артритом рук и потому вынужден обмениваться слабым"
165,Allana-Piza-YAzyk-telodvizhenij,52,1,397,99,45,False,"Чтобы полностью определиться относительно намерений человека, понаблюдайте за его последующим после "
166,Allana-Piza-YAzyk-telodvizhenij,52,2,418,104,57,False,"В результате получается рукопожатие, при котором обе руки остаются в вертикальном положении, а оба ч"
167,Allana-Piza-YAzyk-telodvizhenij,52,3,445,111,61,False,"Существует простой способ «разоружения» властного партнера, который дает вам возможность не только в"
168,Allana-Piza-YAzyk-telodvizhenij,52,4,284,71,41,False,"24). Затем, для завершения маневра, левую ногу поставьте за правой и встряхните руку партнера. Эта т"
169,Allana-Piza-YAzyk-telodvizhenij,53,0,412,103,60,False,"интимную зону. Проанализируйте свое поведение во время обмена рукопожатиями и проследите, какой ного"
170,Allana-Piza-YAzyk-telodvizhenij,53,1,162,40,20,False,"Отработайте движение навстречу партнеру с левой ноги, в таком положении значительно проще нейтрализо"
171,Allana-Piza-YAzyk-telodvizhenij,54,0,412,103,49,False,"Кто Должен Первым Предлагать Руку для Рукопожатия Хотя общепризнанно, что при знакомстве необходимо "
172,Allana-Piza-YAzyk-telodvizhenij,54,1,456,114,70,False,"Рады ли мне?» Торговых агентов специально обучают правилу — не предлагать рукопожатие покупателю, к "
173,Allana-Piza-YAzyk-telodvizhenij,54,2,117,29,20,False,"В этом случае лучше подождать, не предложит ли хозяин руки, а если нет, то просто кивнуть головой в "
174,Allana-Piza-YAzyk-telodvizhenij,55,0,506,126,60,False,"Различные Виды Рукопожатий Доминантное рукопожатие есть наиболее агрессивный вид рукопожатия, т.к. о"
175,Allana-Piza-YAzyk-telodvizhenij,55,1,417,104,63,False,"Вы можете пользоваться описанным выше способом, основанным на цепочке шагов, но иногда его трудно пр"
176,Allana-Piza-YAzyk-telodvizhenij,55,2,485,121,63,False,"это может сбить с толку человека с властными намерениями, мы рекомендуем использовать это рукопожати"
177,Allana-Piza-YAzyk-telodvizhenij,55,3,88,22,13,False,Этот жест «перчатка» должен применяться только по отношению к хорошо знакомым вам людям.
178,Allana-Piza-YAzyk-telodvizhenij,56,0,409,102,54,False,"Некоторые рукопожатия могут быть такими беспристрастными и неэмоциональными, что создается впечатлен"
